Dongcopter Dábel,,,17,5,11,3 *,39
Angry Toaster,D V,,11,2,12,3 *,28
shoony,,,11,2,14,2 *,27
CheliosSVK,,,6,0,12,,16
ZvolasB,,,5,1,11,,11
