Ďurki,,,,18,3,12,3 *,45
Stéblo,,,,16,1,10,3 *,40
shoony,,,,9,6,12,,29
CheliosSVK,,,,7,6,15,1 *,21
podmenato,,,,3,1,14,1 *,12
